Cumulative sequencing depth,Fraction of target bases(%)
0,100.000000
1,99.787292
2,99.673637
3,99.530640
4,99.410629
5,99.360390
6,99.329742
7,99.317345
8,99.315735
9,99.315735
10,99.315735
11,99.315735
12,99.315552
13,99.315552
14,99.315292
15,99.315163
16,99.315163
17,99.315163
18,99.315033
19,99.314903
20,99.314713
21,99.314713
22,99.314323
23,99.314323
24,99.313690
25,99.313171
26,99.312981
27,99.312660
28,99.312531
29,99.312332
30,99.312332
31,99.312080
32,99.312012
33,99.311890
34,99.311691
35,99.311432
36,99.311180
37,99.311180
38,99.311111
39,99.311111
40,99.311111
41,99.311111
42,99.310921
43,99.310799
44,99.310600
45,99.310600
46,99.310478
47,99.310341
48,99.310089
49,99.309898
50,99.309898
51,99.309769
52,99.309578
53,99.309250
54,99.309189
55,99.308929
56,99.308548
57,99.308418
58,99.308167
59,99.308029
60,99.307777
61,99.307587
62,99.307320
63,99.307007
64,99.306747
65,99.306686
66,99.306618
67,99.306229
68,99.306168
69,99.305908
70,99.305656
71,99.305466
72,99.305206
73,99.304947
74,99.304886
75,99.304695
76,99.304695
77,99.304497
78,99.304375
79,99.304375
80,99.304237
81,99.304047
82,99.303795
83,99.303665
84,99.303215
85,99.302963
86,99.302574
87,99.302444
88,99.302116
89,99.301926
90,99.301865
91,99.301735
92,99.301605
93,99.301414
94,99.300964
95,99.300514
96,99.300385
97,99.300125
98,99.299873
99,99.299362
100,99.298912
101,99.298012
102,99.296982
103,99.296341
104,99.295631
105,99.295311
106,99.295059
107,99.294540
108,99.294220
109,99.293579
110,99.293449
111,99.293190
112,99.292931
113,99.292679
114,99.292358
115,99.292099
116,99.291328
117,99.290878
118,99.290497
119,99.289978
120,99.289787
121,99.289719
122,99.289528
123,99.289398
124,99.288956
125,99.288376
126,99.287666
127,99.287086
128,99.286446
129,99.286125
130,99.285995
131,99.285675
132,99.285294
133,99.285095
134,99.284653
135,99.284454
136,99.284073
137,99.283684
138,99.283562
139,99.283104
140,99.282402
141,99.282013
142,99.281822
143,99.281502
144,99.281113
145,99.281052
146,99.280792
147,99.280533
148,99.280472
149,99.280281
150,99.280022
151,99.279892
152,99.279823
153,99.279503
154,99.279060
155,99.278610
156,99.278221
157,99.277649
158,99.277458
159,99.277390
160,99.277069
161,99.276810
162,99.276558
163,99.276169
164,99.276039
165,99.275848
166,99.275459
167,99.275078
168,99.274689
169,99.274429
170,99.273987
171,99.273788
172,99.273338
173,99.272888
174,99.272827
175,99.272766
176,99.272377
177,99.272377
178,99.272247
179,99.271797
180,99.271545
181,99.271217
182,99.270897
183,99.270576
184,99.270126
185,99.269676
186,99.269485
187,99.269096
188,99.268784
189,99.268517
190,99.268326
191,99.268135
192,99.268074
193,99.267944
194,99.267685
195,99.267616
196,99.267303
197,99.266983
198,99.266594
199,99.266342
200,99.266014
201,99.265823
202,99.265823
203,99.265633
204,99.265373
205,99.264862
206,99.264671
207,99.264542
208,99.264351
209,99.264153
210,99.263573
211,99.263313
212,99.262932
213,99.262550
214,99.262550
215,99.262550
216,99.262482
217,99.262161
218,99.261971
219,99.261520
220,99.261200
221,99.260811
222,99.260620
223,99.260368
224,99.260101
225,99.259659
226,99.259148
227,99.258888
228,99.258690
229,99.258499
230,99.258247
231,99.257919
232,99.257729
233,99.257347
234,99.257019
235,99.256577
236,99.256508
237,99.256256
238,99.255928
239,99.255287
240,99.254898
241,99.254646
242,99.254387
243,99.254135
244,99.253746
245,99.253555
246,99.253296
247,99.252975
248,99.252464
249,99.252205
250,99.251686
251,99.251495
252,99.251053
253,99.250793
254,99.250275
255,99.249763
256,99.249443
257,99.249313
258,99.248734
259,99.248543
260,99.247833
261,99.247261
