Sequencing depth,Fraction of target bases(%),Number of target bases
0,0.212389,1
1,0.113647,1769
2,0.143006,2226
3,0.120007,1868
4,0.050239,782
5,0.030644,477
6,0.012399,193
7,0.001606,25
11,0.000193,3
13,0.000257,4
14,0.000128,2
17,0.000128,2
18,0.000128,2
19,0.000193,3
21,0.000385,6
23,0.000642,10
24,0.000514,8
25,0.000193,3
26,0.000321,5
27,0.000128,2
28,0.000193,3
30,0.000257,4
31,0.000064,1
32,0.000128,2
33,0.000193,3
34,0.000257,4
35,0.000257,4
37,0.000064,1
41,0.000193,3
42,0.000128,2
43,0.000193,3
45,0.000128,2
46,0.000128,2
47,0.000257,4
48,0.000193,3
50,0.000128,2
51,0.000193,3
52,0.000321,5
53,0.000064,1
54,0.000257,4
55,0.000385,6
56,0.000128,2
57,0.000257,4
58,0.000128,2
59,0.000257,4
60,0.000193,3
61,0.000257,4
62,0.000321,5
63,0.000257,4
64,0.000064,1
65,0.000064,1
66,0.000385,6
67,0.000064,1
68,0.000257,4
69,0.000257,4
70,0.000193,3
71,0.000257,4
72,0.000257,4
73,0.000064,1
74,0.000193,3
76,0.000193,3
77,0.000128,2
79,0.000128,2
80,0.000193,3
81,0.000257,4
82,0.000128,2
83,0.000450,7
84,0.000257,4
85,0.000385,6
86,0.000128,2
87,0.000321,5
88,0.000193,3
89,0.000064,1
90,0.000128,2
91,0.000128,2
92,0.000193,3
93,0.000450,7
94,0.000450,7
95,0.000128,2
96,0.000257,4
97,0.000257,4
98,0.000514,8
99,0.000450,7
100,0.000899,14
101,0.001028,16
102,0.000642,10
103,0.000707,11
104,0.000321,5
105,0.000257,4
106,0.000514,8
107,0.000321,5
108,0.000642,10
109,0.000128,2
110,0.000257,4
111,0.000257,4
112,0.000257,4
113,0.000321,5
114,0.000257,4
115,0.000771,12
116,0.000450,7
117,0.000385,6
118,0.000514,8
119,0.000193,3
120,0.000064,1
121,0.000193,3
122,0.000128,2
123,0.000450,7
124,0.000578,9
125,0.000707,11
126,0.000578,9
127,0.000642,10
128,0.000321,5
129,0.000128,2
130,0.000321,5
131,0.000385,6
132,0.000193,3
133,0.000450,7
134,0.000193,3
135,0.000385,6
136,0.000385,6
137,0.000128,2
138,0.000450,7
139,0.000707,11
140,0.000385,6
141,0.000193,3
142,0.000321,5
143,0.000385,6
144,0.000064,1
145,0.000257,4
146,0.000257,4
147,0.000064,1
148,0.000193,3
149,0.000257,4
150,0.000128,2
151,0.000064,1
152,0.000321,5
153,0.000450,7
154,0.000450,7
155,0.000385,6
156,0.000578,9
157,0.000193,3
158,0.000064,1
159,0.000321,5
160,0.000257,4
161,0.000257,4
162,0.000385,6
163,0.000128,2
164,0.000193,3
165,0.000385,6
166,0.000385,6
167,0.000385,6
168,0.000257,4
169,0.000450,7
170,0.000193,3
171,0.000450,7
172,0.000450,7
173,0.000064,1
174,0.000064,1
175,0.000385,6
177,0.000128,2
178,0.000450,7
179,0.000257,4
180,0.000321,5
181,0.000321,5
182,0.000321,5
183,0.000450,7
184,0.000450,7
185,0.000193,3
186,0.000385,6
187,0.000321,5
188,0.000257,4
189,0.000193,3
190,0.000193,3
191,0.000064,1
192,0.000128,2
193,0.000257,4
194,0.000064,1
195,0.000321,5
196,0.000321,5
197,0.000385,6
198,0.000257,4
199,0.000321,5
200,0.000193,3
202,0.000193,3
203,0.000257,4
204,0.000514,8
205,0.000193,3
206,0.000128,2
207,0.000193,3
208,0.000193,3
209,0.000578,9
210,0.000257,4
211,0.000385,6
212,0.000385,6
215,0.000064,1
216,0.000321,5
217,0.000193,3
218,0.000450,7
219,0.000321,5
220,0.000385,6
221,0.000193,3
222,0.000257,4
223,0.000257,4
224,0.000450,7
225,0.000514,8
226,0.000257,4
227,0.000193,3
228,0.000193,3
229,0.000257,4
230,0.000321,5
231,0.000193,3
232,0.000385,6
233,0.000321,5
234,0.000450,7
235,0.000064,1
236,0.000257,4
237,0.000321,5
238,0.000642,10
239,0.000385,6
240,0.000257,4
241,0.000257,4
242,0.000257,4
243,0.000385,6
244,0.000193,3
245,0.000257,4
246,0.000321,5
247,0.000514,8
248,0.000257,4
249,0.000514,8
250,0.000193,3
251,0.000450,7
252,0.000257,4
253,0.000514,8
254,0.000514,8
255,0.000321,5
256,0.000128,2
257,0.000578,9
258,0.000193,3
259,0.000707,11
260,0.000578,9
261,0.000514,8
262,0.000257,4
263,0.000257,4
264,0.000707,11
265,0.000321,5
266,0.000707,11
267,0.000128,2
268,0.000257,4
269,0.000450,7
270,0.000450,7
271,0.000514,8
272,0.000514,8
273,0.000193,3
274,0.000385,6
275,0.000193,3
276,0.000385,6
277,0.000578,9
278,0.000385,6
279,0.000064,1
280,0.000771,12
281,0.000642,10
282,0.000321,5
283,0.000707,11
284,0.000642,10
285,0.000321,5
286,0.000578,9
287,0.000835,13
288,0.000193,3
289,0.000450,7
290,0.000835,13
291,0.000771,12
292,0.000385,6
293,0.000385,6
294,0.000321,5
295,0.000450,7
296,0.000578,9
297,0.000385,6
298,0.000578,9
299,0.000385,6
300,0.000835,13
301,0.000257,4
302,0.000835,13
303,0.000321,5
304,0.000642,10
305,0.000514,8
306,0.000642,10
307,0.000514,8
308,0.000578,9
309,0.000385,6
310,0.000578,9
311,0.000514,8
312,0.000707,11
313,0.000514,8
314,0.000771,12
315,0.000707,11
316,0.000707,11
317,0.000450,7
318,0.000642,10
319,0.000450,7
320,0.000450,7
321,0.000642,10
322,0.000707,11
323,0.000835,13
324,0.000578,9
325,0.000450,7
326,0.000835,13
327,0.000771,12
