"x0","y0"
0,1.72570547913536e-08
1,3.45141095827073e-08
2,7.30414877215433e-08
3,4.01326855612875e-09
4,1.0193702132567e-07
5,1.48490936576764e-07
6,2.32769576255468e-08
7,2.2474303914321e-07
8,3.29890675313784e-07
9,4.33433004061905e-08
10,5.48613811622801e-07
11,9.70809663727545e-07
12,1.93600075147651e-06
13,2.18723136309017e-07
14,2.39792796228693e-06
15,4.09794852266307e-06
16,2.90159316608109e-07
17,6.80088489521579e-06
18,1.264139462495e-05
19,6.02391610274926e-07
20,2.17334545388596e-05
21,3.30922085332709e-05
22,4.92203308797855e-05
23,5.42794572216414e-06
24,7.78361396655503e-05
25,0.000106350412756845
26,1.06419842302866e-05
27,0.000156812850254752
28,0.000205979804662741
29,7.51725333248477e-06
30,0.000283345187926658
31,0.000342500766443996
32,0.000389919139742079
33,3.67848169317649e-05
34,0.000476106891272934
35,0.000534715862612927
36,5.32745347751868e-05
37,0.000634747785355003
38,0.000662175666648153
39,6.48548211938963e-05
40,0.000742172550104323
41,0.000728990568204863
42,0.000795117194204196
43,6.04755425454486e-05
44,0.000797291984434763
45,0.000733871104095971
46,6.01316054301883e-05
47,0.000782561683526348
48,0.000729795629877222
49,6.0795400049372e-05
50,0.00077074060099427
51,0.000684965413470986
52,0.000740999070378512
53,5.98627164369277e-05
54,0.000682942324791842
55,0.000753640866330317
56,6.06228295014585e-05
57,0.000736958511596201
58,0.000672428363828496
59,5.80374818976004e-05
60,0.000700935413036389
61,0.000637335139593139
62,0.000635377065864604
63,5.74495380541275e-05
64,0.000540994219942135
65,0.000510155863029986
66,4.33441030599018e-05
67,0.000415880171377965
68,0.000375645548795352
69,3.09190236101271e-05
70,0.000279505693899009
71,0.000228988274621883
72,0.000182941636516284
73,1.43992062525344e-05
74,0.000126874268152888
75,0.000101281253243599
76,8.19509439161491e-06
77,6.74233130698187e-05
78,5.47253313582273e-05
79,4.03534153318746e-06
80,3.99946291229567e-05
81,3.43591974164407e-05
82,2.40824206247618e-05
83,6.66202580317373e-07
84,1.42298463194657e-05
85,9.59853440569314e-06
86,5.90753131462152e-07
87,5.0370533647972e-06
88,3.66772613344607e-06
89,2.13907214041663e-07
90,1.65186133770259e-06
91,8.27134649418136e-07
92,7.3001355035982e-07
93,4.97645300959965e-08
94,3.08620351966301e-07
95,1.30431228074184e-07
96,6.01990283419313e-09
97,4.1737992983739e-08
98,4.93632032403837e-08
100,1.12371519571605e-08
