Cycle,R1Counts,R2Counts,R1_UnmCounts,R1_UnmRate,R1_SclipCounts,R1_ScRate,R1_InsertCounts,R1_InsRate,R1_SnvCounts,R1_SnvRate,R1_TotalMisCounts,R1_TotalRate,R2_UnmCounts,R2_UnmRate,R2_SclipCounts,R2_ScRate,R2_InsertCounts,R2_InsRate,R2_SnvCounts,R2_SnvRate,R2_TotalMisCounts,R2_TotalRate
1,89032048,89032048,469536,0.005274,578606,0.006499,855,0.000010,337476,0.003791,1386473,0.015573,132519,0.001488,426148,0.004786,268,0.000003,306036,0.003437,864971,0.009715
2,89032048,89032048,469536,0.005274,547683,0.006152,370,0.000004,284751,0.003198,1302340,0.014628,132519,0.001488,401994,0.004515,426,0.000005,250246,0.002811,785185,0.008819
3,89032048,89032048,469536,0.005274,485720,0.005456,274,0.000003,250844,0.002817,1206374,0.013550,132519,0.001488,351610,0.003949,387,0.000004,213831,0.002402,698347,0.007844
4,89032048,89032048,469536,0.005274,425805,0.004783,3297,0.000037,252639,0.002838,1151277,0.012931,132519,0.001488,303322,0.003407,2752,0.000031,216199,0.002428,654792,0.007355
5,89032048,89032048,469536,0.005274,365540,0.004106,4682,0.000053,240482,0.002701,1080240,0.012133,132519,0.001488,255948,0.002875,4047,0.000045,204158,0.002293,596672,0.006702
6,89032048,89032048,469536,0.005274,305292,0.003429,5125,0.000058,265565,0.002983,1045518,0.011743,132519,0.001488,209384,0.002352,4362,0.000049,219357,0.002464,565622,0.006353
7,89032048,89032048,469536,0.005274,280882,0.003155,5374,0.000060,272413,0.003060,1028205,0.011549,132519,0.001488,189680,0.002130,4504,0.000051,222041,0.002494,548744,0.006163
8,89032048,89032048,469536,0.005274,258491,0.002903,5108,0.000057,279895,0.003144,1013030,0.011378,132519,0.001488,172716,0.001940,4434,0.000050,224214,0.002518,533883,0.005997
9,89032048,89032048,469536,0.005274,237252,0.002665,5891,0.000066,286778,0.003221,999457,0.011226,132519,0.001488,157133,0.001765,5297,0.000059,238318,0.002677,533267,0.005990
10,89032048,89032048,469536,0.005274,216865,0.002436,6939,0.000078,292902,0.003290,986242,0.011077,132519,0.001488,142449,0.001600,6186,0.000069,241338,0.002711,522492,0.005869
11,89032048,89032048,469536,0.005274,196479,0.002207,7168,0.000081,298349,0.003351,971532,0.010912,132519,0.001488,128543,0.001444,6567,0.000074,238283,0.002676,505912,0.005682
