Cumulative sequencing depth,Fraction of target bases(%)
0,100.000000
1,99.322617
2,99.317474
3,99.315292
4,99.315033
5,99.314713
6,99.314392
7,99.313690
8,99.313492
9,99.313423
10,99.313232
11,99.312210
12,99.311821
13,99.311630
14,99.311378
15,99.311310
16,99.311180
17,99.311050
18,99.310860
19,99.310478
20,99.310089
21,99.309639
22,99.308418
23,99.306808
24,99.304306
25,99.302574
26,99.301926
27,99.301163
28,99.301025
29,99.300705
30,99.300125
31,99.299744
32,99.299103
33,99.298134
34,99.297562
35,99.296402
36,99.295570
37,99.294540
38,99.293510
39,99.293259
40,99.292931
41,99.292419
42,99.292229
43,99.291969
44,99.291458
45,99.291138
46,99.289787
47,99.288956
48,99.288437
49,99.287666
50,99.286766
51,99.285736
52,99.284584
53,99.284073
54,99.282913
55,99.282333
56,99.281303
57,99.280533
58,99.279701
59,99.279060
60,99.278351
61,99.277458
62,99.276680
63,99.276299
64,99.275398
65,99.274429
66,99.273720
67,99.272957
68,99.272308
69,99.271736
70,99.271355
71,99.270515
72,99.269875
73,99.268906
74,99.267944
75,99.267365
76,99.266464
77,99.265305
78,99.264351
79,99.263451
80,99.262100
81,99.260368
82,99.258308
83,99.256577
84,99.255165
85,99.253876
86,99.252975
87,99.251884
88,99.250343
89,99.249062
90,99.247833
91,99.246422
92,99.245140
93,99.244171
94,99.242821
95,99.241158
96,99.239868
97,99.238777
98,99.236977
99,99.235245
100,99.234215
101,99.232933
102,99.231514
103,99.229912
104,99.228371
105,99.227020
106,99.224899
107,99.223038
108,99.221367
109,99.218987
110,99.216995
111,99.214752
112,99.213341
113,99.211792
114,99.210190
115,99.208260
116,99.205818
117,99.203186
118,99.201775
119,99.199654
120,99.197533
121,99.195160
122,99.192848
123,99.189957
124,99.186867
125,99.183464
126,99.179672
127,99.176651
128,99.173317
129,99.170425
130,99.167976
131,99.165031
132,99.161682
133,99.158348
134,99.155327
135,99.150696
136,99.147362
137,99.143890
138,99.140358
139,99.136246
140,99.133034
141,99.129433
142,99.125259
143,99.121216
144,99.116844
145,99.111191
146,99.105728
147,99.098854
148,99.093140
149,99.086838
150,99.080223
151,99.074760
152,99.067757
153,99.059410
154,99.052536
155,99.045662
156,99.036148
157,99.027222
158,99.018425
159,99.009430
160,98.999405
161,98.991119
162,98.980072
163,98.970367
164,98.960281
165,98.950966
166,98.940430
167,98.928871
168,98.917046
169,98.904968
170,98.892059
171,98.880043
172,98.866745
173,98.854279
174,98.841370
175,98.828842
176,98.816124
177,98.802559
178,98.788879
179,98.775581
180,98.760742
181,98.746223
182,98.734406
183,98.717827
184,98.703308
185,98.687309
186,98.672661
187,98.655510
188,98.640350
189,98.622231
190,98.605080
191,98.588249
192,98.569489
193,98.549187
194,98.529976
195,98.510323
196,98.490852
197,98.469910
198,98.446655
199,98.422630
200,98.402580
201,98.380226
202,98.359924
203,98.337952
204,98.314056
205,98.292854
206,98.268631
207,98.244797
208,98.218781
209,98.194565
210,98.168350
211,98.142014
212,98.114326
213,98.087082
214,98.059647
215,98.030998
216,98.003052
217,97.975494
218,97.946968
219,97.917542
220,97.887733
221,97.861267
222,97.830750
223,97.801773
224,97.770485
225,97.743126
226,97.711639
227,97.679070
228,97.647209
229,97.615601
230,97.585335
231,97.551994
232,97.516594
233,97.484734
234,97.451004
235,97.417023
236,97.382584
237,97.348801
238,97.313332
239,97.273949
240,97.237076
241,97.202255
242,97.164803
243,97.127411
244,97.089569
245,97.050064
246,97.014854
247,96.974899
248,96.934166
249,96.896393
250,96.859512
251,96.819878
252,96.779922
253,96.736870
254,96.693253
255,96.650017
256,96.602989
257,96.558212
258,96.513756
259,96.465378
260,96.420029
261,96.368828
262,96.315628
263,96.264748
264,96.211487
265,96.159515
266,96.103050
267,96.049850
268,95.997429
269,95.938965
270,95.883781
271,95.822105
272,95.765381
273,95.708145
274,95.647430
275,95.585373
276,95.522995
277,95.460358
278,95.392838
279,95.326408
280,95.260811
281,95.190140
282,95.119865
283,95.044571
284,94.970169
285,94.896744
286,94.820168
287,94.748596
288,94.673309
289,94.597885
290,94.516937
291,94.440933
292,94.362495
293,94.283470
294,94.197197
295,94.116821
296,94.027847
297,93.942467
298,93.854584
299,93.764191
300,93.677528
301,93.592026
302,93.502014
303,93.410858
304,93.316994
305,93.219086
306,93.120865
307,93.022308
308,92.928711
309,92.826492
310,92.726791
311,92.624702
312,92.521339
313,92.419067
314,92.313957
315,92.204231
316,92.096298
317,91.988113
318,91.877357
319,91.765511
320,91.655907
321,91.541107
322,91.422638
323,91.311302
324,91.194130
325,91.075989
326,90.955009
327,90.834686
328,90.709023
329,90.585938
330,90.459183
331,90.334549
332,90.207924
333,90.077705
334,89.942535
335,89.810005
336,89.671234
337,89.531441
338,89.395241
339,89.252754
340,89.116493
341,88.975922
342,88.833687
343,88.693253
344,88.550827
345,88.408203
346,88.268860
347,88.131760
348,87.991455
349,87.843178
350,87.700623
351,87.552414
352,87.405357
353,87.257988
354,87.108681
355,86.948326
356,86.788170
357,86.628983
358,86.475883
359,86.314438
360,86.160706
361,86.002151
362,85.844627
363,85.684792
364,85.527267
365,85.365753
366,85.205856
367,85.043701
368,84.882896
369,84.725182
370,84.557442
371,84.388802
372,84.223633
373,84.052681
374,83.888474
375,83.719254
376,83.550034
377,83.384995
378,83.217964
379,83.045662
380,82.879013
381,82.710823
382,82.538071
383,82.365578
384,82.195595
385,82.014938
386,81.836472
387,81.664360
388,81.489105
389,81.313141
390,81.134735
391,80.962051
392,80.781647
393,80.603760
394,80.425743
395,80.255951
396,80.074135
397,79.898048
398,79.716690
399,79.532051
400,79.354996
401,79.178391
402,78.997673
403,78.809502
404,78.627052
405,78.444405
406,78.258743
407,78.070702
408,77.888695
409,77.711258
410,77.528610
411,77.343269
412,77.157089
413,76.967575
414,76.789940
415,76.608261
416,76.427605
417,76.244507
418,76.064308
419,75.875626
420,75.691116
421,75.503784
