Sequencing depth,Fraction of target bases(%),Number of target bases
0,0.677385,1
1,0.005139,80
2,0.002184,34
3,0.000257,4
4,0.000321,5
5,0.000321,5
6,0.000707,11
7,0.000193,3
8,0.000064,1
9,0.000193,3
10,0.001028,16
11,0.000385,6
12,0.000193,3
13,0.000257,4
14,0.000064,1
15,0.000128,2
16,0.000128,2
17,0.000193,3
18,0.000385,6
19,0.000385,6
20,0.000450,7
21,0.001221,19
22,0.001606,25
23,0.002506,39
24,0.001735,27
25,0.000642,10
26,0.000771,12
27,0.000128,2
28,0.000321,5
29,0.000578,9
30,0.000385,6
31,0.000642,10
32,0.000964,15
33,0.000578,9
34,0.001156,18
35,0.000835,13
36,0.001028,16
37,0.001028,16
38,0.000257,4
39,0.000321,5
40,0.000514,8
41,0.000193,3
42,0.000257,4
43,0.000514,8
44,0.000321,5
45,0.001349,21
46,0.000835,13
47,0.000514,8
48,0.000771,12
49,0.000899,14
50,0.001028,16
51,0.001156,18
52,0.000514,8
53,0.001156,18
54,0.000578,9
55,0.001028,16
56,0.000771,12
57,0.000835,13
58,0.000642,10
59,0.000707,11
60,0.000899,14
61,0.000771,12
62,0.000385,6
63,0.000899,14
64,0.000964,15
65,0.000707,11
66,0.000771,12
67,0.000642,10
68,0.000578,9
69,0.000385,6
70,0.000835,13
71,0.000642,10
72,0.000964,15
73,0.000964,15
74,0.000578,9
75,0.000899,14
76,0.001156,18
77,0.000964,15
78,0.000899,14
79,0.001349,21
80,0.001735,27
81,0.002056,32
82,0.001735,27
83,0.001413,22
84,0.001285,20
85,0.000899,14
86,0.001092,17
87,0.001542,24
88,0.001285,20
89,0.001221,19
90,0.001413,22
91,0.001285,20
92,0.000964,15
93,0.001349,21
94,0.001670,26
95,0.001285,20
96,0.001092,17
97,0.001799,28
98,0.001735,27
99,0.001028,16
100,0.001285,20
101,0.001413,22
102,0.001606,25
103,0.001542,24
104,0.001349,21
105,0.002120,33
106,0.001863,29
107,0.001670,26
108,0.002377,37
109,0.001992,31
110,0.002249,35
111,0.001413,22
112,0.001542,24
113,0.001606,25
114,0.001927,30
115,0.002441,38
116,0.002634,41
117,0.001413,22
118,0.002120,33
119,0.002120,33
120,0.002377,37
121,0.002313,36
122,0.002891,45
123,0.003084,48
124,0.003405,53
125,0.003790,59
126,0.003019,47
127,0.003341,52
128,0.002891,45
129,0.002441,38
130,0.002955,46
131,0.003341,52
132,0.003341,52
133,0.003019,47
134,0.004626,72
135,0.003341,52
136,0.003469,54
137,0.003533,55
138,0.004112,64
139,0.003212,50
140,0.003598,56
141,0.004176,65
142,0.004047,63
143,0.004369,68
144,0.005653,88
145,0.005461,85
146,0.006874,107
147,0.005718,89
148,0.006296,98
149,0.006617,103
150,0.005461,85
151,0.007003,109
152,0.008352,130
153,0.006874,107
154,0.006874,107
155,0.009508,148
156,0.008930,139
157,0.008801,137
158,0.008994,140
159,0.010022,156
160,0.008287,129
161,0.011050,172
162,0.009701,151
163,0.010086,157
164,0.009315,145
165,0.010536,164
166,0.011564,180
167,0.011821,184
168,0.012078,188
169,0.012913,201
170,0.012014,187
171,0.013298,207
172,0.012463,194
173,0.012913,201
174,0.012528,195
175,0.012720,198
176,0.013555,211
177,0.013684,213
178,0.013298,207
179,0.014840,231
180,0.014519,226
181,0.011821,184
182,0.016575,258
183,0.014519,226
184,0.015997,249
185,0.014648,228
186,0.017153,267
187,0.015161,236
188,0.018117,282
189,0.017153,267
190,0.016832,262
191,0.018759,292
192,0.020301,316
193,0.019209,299
194,0.019659,306
195,0.019466,303
196,0.020943,326
197,0.023256,362
198,0.024027,374
199,0.020044,312
200,0.022357,348
201,0.020301,316
202,0.021971,342
203,0.023899,372
204,0.021200,330
205,0.024220,377
206,0.023834,371
207,0.026019,405
208,0.024220,377
209,0.026211,408
210,0.026340,410
211,0.027689,431
212,0.027239,424
213,0.027432,427
214,0.028653,446
215,0.027946,435
216,0.027561,429
217,0.028524,444
218,0.029424,458
219,0.029809,464
220,0.026468,412
221,0.030516,475
222,0.028974,451
223,0.031287,487
224,0.027368,426
225,0.031479,490
226,0.032572,507
227,0.031865,496
228,0.031608,492
229,0.030259,471
230,0.033342,519
231,0.035398,551
232,0.031865,496
233,0.033728,525
234,0.033985,529
235,0.034435,536
236,0.033792,526
237,0.035462,552
238,0.039381,613
239,0.036876,574
240,0.034820,542
241,0.037454,583
242,0.037390,582
243,0.037839,589
244,0.039510,615
245,0.035205,548
246,0.039960,622
247,0.040730,634
248,0.037775,588
249,0.036876,574
250,0.039638,617
251,0.039960,622
252,0.043043,670
253,0.043621,679
254,0.043236,673
255,0.047026,732
256,0.044778,697
257,0.044457,692
258,0.048375,753
259,0.045356,706
260,0.051202,797
261,0.053194,828
262,0.050881,792
263,0.053258,829
264,0.051973,809
265,0.056470,879
266,0.053194,828
267,0.052423,816
268,0.058462,910
269,0.055185,859
270,0.061674,960
271,0.056727,883
272,0.057241,891
273,0.060710,945
274,0.062059,966
275,0.062381,971
276,0.062638,975
277,0.067520,1051
278,0.066428,1034
279,0.065593,1021
280,0.070668,1100
281,0.070283,1094
282,0.075294,1172
283,0.074394,1158
284,0.073430,1143
285,0.076578,1192
286,0.071567,1114
287,0.075294,1172
288,0.075422,1174
289,0.080947,1260
290,0.076000,1183
291,0.078441,1221
292,0.079020,1230
293,0.086279,1343
294,0.080369,1251
295,0.088977,1385
296,0.085380,1329
297,0.087885,1368
298,0.090391,1407
299,0.086665,1349
300,0.085508,1331
301,0.090005,1401
302,0.091162,1419
303,0.093860,1461
304,0.097907,1524
305,0.098228,1529
306,0.098550,1534
307,0.093603,1457
308,0.102212,1591
309,0.099706,1552
310,0.102083,1589
311,0.103368,1609
312,0.102276,1592
313,0.105103,1636
314,0.109728,1708
315,0.107929,1680
316,0.108186,1684
317,0.110756,1724
318,0.111848,1741
319,0.109600,1706
320,0.114803,1787
321,0.118465,1844
322,0.111334,1733
323,0.117180,1824
324,0.118144,1839
325,0.120971,1883
326,0.120328,1873
327,0.125661,1956
328,0.123091,1916
329,0.126753,1973
330,0.124633,1940
331,0.126624,1971
332,0.130222,2027
333,0.135169,2104
334,0.132535,2063
335,0.138766,2160
336,0.139794,2176
337,0.136196,2120
338,0.142492,2218
339,0.136261,2121
340,0.140565,2188
341,0.142235,2214
342,0.140437,2186
343,0.142428,2217
344,0.142621,2220
345,0.139344,2169
346,0.137096,2134
347,0.140308,2184
348,0.148274,2308
349,0.142557,2219
350,0.148210,2307
351,0.147054,2289
352,0.147375,2294
353,0.149302,2324
354,0.160352,2496
355,0.160159,2493
356,0.159196,2478
357,0.153093,2383
358,0.161444,2513
359,0.153735,2393
360,0.158553,2468
361,0.157525,2452
362,0.159838,2488
363,0.157525,2452
364,0.161508,2514
365,0.159902,2489
366,0.162151,2524
367,0.160802,2503
368,0.157718,2455
369,0.167740,2611
370,0.168639,2625
371,0.165170,2571
372,0.170952,2661
373,0.164207,2556
374,0.169218,2634
375,0.169218,2634
376,0.165042,2569
377,0.167033,2600
378,0.172301,2682
379,0.166648,2594
380,0.168190,2618
381,0.172751,2689
382,0.172494,2685
383,0.169989,2646
384,0.180653,2812
385,0.178469,2778
386,0.172109,2679
387,0.175257,2728
388,0.175963,2739
389,0.178405,2777
390,0.172687,2688
391,0.180396,2808
392,0.177891,2769
393,0.178019,2771
394,0.169796,2643
395,0.181809,2830
396,0.176092,2741
397,0.181360,2823
398,0.184636,2874
399,0.177055,2756
400,0.176606,2749
401,0.180717,2813
402,0.188170,2929
403,0.182452,2840
404,0.182645,2843
405,0.185664,2890
406,0.188041,2927
407,0.182002,2833
408,0.177441,2762
409,0.182645,2843
410,0.185343,2885
411,0.186178,2898
412,0.189519,2950
413,0.177634,2765
414,0.181681,2828
415,0.180653,2812
416,0.183094,2850
417,0.180203,2805
418,0.188683,2937
419,0.184508,2872
420,0.187334,2916
421,0.184829,2877
422,0.183351,2854
423,0.180139,2804
424,0.186306,2900
425,0.184572,2873
426,0.184508,2872
427,0.184443,2871
428,0.183801,2861
429,0.180589,2811
430,0.186756,2907
431,0.188812,2939
432,0.180525,2810
433,0.185279,2884
434,0.188619,2936
435,0.180396,2808
436,0.183094,2850
437,0.182580,2842
438,0.186756,2907
439,0.183929,2863
440,0.182002,2833
441,0.187527,2919
442,0.184765,2876
443,0.185279,2884
444,0.191767,2985
445,0.185857,2893
446,0.180589,2811
447,0.183094,2850
448,0.187784,2923
449,0.180460,2809
450,0.187720,2922
451,0.182002,2833
452,0.184765,2876
453,0.182709,2844
454,0.184636,2874
455,0.181938,2832
456,0.175771,2736
457,0.180589,2811
458,0.183223,2852
459,0.177634,2765
460,0.180525,2810
461,0.179175,2789
462,0.178918,2785
463,0.175963,2739
464,0.178918,2785
465,0.187334,2916
466,0.183351,2854
467,0.179946,2801
468,0.187270,2915
469,0.186242,2899
470,0.183544,2857
471,0.184700,2875
472,0.185022,2880
473,0.187977,2926
474,0.182902,2847
475,0.188619,2936
476,0.186756,2907
477,0.185600,2889
