"x","y"
0,0
1,18
2,26
3,28
4,18
5,6
6,10
7,28
8,20
9,12
10,12
11,18
12,14
13,10
14,18
15,22
16,10
17,20
18,30
19,24
20,31
21,28
22,40
23,44
24,32
25,50
26,32
27,58
28,44
29,70
30,54
31,42
32,52
33,46
34,68
35,80
36,58
37,56
38,61
39,64
40,76
41,46
42,72
43,82
44,86
45,61
46,84
47,84
48,62
49,62
50,64
51,92
52,49
53,80
54,64
55,63
56,78
57,78
58,84
59,65
60,85
61,70
62,64
63,94
64,199
65,183
66,235
67,271
68,255
69,326
70,443
71,494
72,497
73,529
74,635
75,675
76,812
77,952
78,972
79,1145
80,1367
81,1425
82,1698
83,1902
84,2152
85,2532
86,2786
87,3131
88,3649
89,3779
90,4376
91,4961
92,5468
93,5996
94,6657
95,7561
96,7978
97,9107
98,9656
99,10888
100,11625
101,12611
102,13719
103,15164
104,16632
105,17833
106,19174
107,20288
108,21685
109,23477
110,25009
111,26800
112,28502
113,30099
114,31491
115,33327
116,35244
117,37327
118,39167
119,40775
120,42684
121,44370
122,46307
123,48003
124,50040
125,52133
126,53576
127,56255
128,57512
129,58713
130,60824
131,61842
132,63961
133,65733
134,68239
135,70282
136,70824
137,72555
138,73679
139,76457
140,76873
141,77882
142,80288
143,81372
144,83493
145,85005
146,85148
147,86570
148,88678
149,89188
150,90739
151,91626
152,92671
153,94637
154,96012
155,95452
156,96451
157,97701
158,99164
159,100056
160,100486
161,101437
162,101119
163,102207
164,103297
165,104405
166,105560
167,105391
168,106408
169,106366
170,105998
171,107739
172,107759
173,108028
174,108925
175,108654
176,108876
177,109716
178,109219
179,110228
180,110430
181,110491
182,110770
183,110249
184,110887
185,110404
186,111433
187,110007
188,110752
189,110080
190,110776
191,111170
192,110353
193,111722
194,110541
195,110816
196,110191
197,109536
198,109976
199,109307
200,108305
201,108694
202,109103
203,109001
204,107134
205,108428
206,107310
207,107889
208,107279
209,106748
210,107789
211,105928
212,106198
213,105767
214,105011
215,105351
216,104533
217,103823
218,104158
219,103648
220,103058
221,102520
222,102101
223,101365
224,100634
225,100512
226,99343
227,99938
228,100017
229,98529
230,98272
231,97495
232,97041
233,96640
234,96339
235,95022
236,95128
237,94414
238,93981
239,93361
240,93053
241,93195
242,91960
243,91977
244,89944
245,90632
246,90139
247,89427
248,88594
249,88099
250,87350
251,87140
252,87033
253,86201
254,84954
255,85173
256,84236
257,83589
258,82817
259,82196
260,81304
261,81138
262,80354
263,80036
264,79684
265,78322
266,78450
267,78353
268,76662
269,76149
270,75556
271,75885
272,74727
273,74342
274,73672
275,72480
276,72219
277,71652
278,71517
279,70888
280,69707
281,69076
282,69925
283,67772
284,67612
285,66474
286,66179
287,65905
288,65513
289,64229
290,64110
291,63973
292,62660
293,62532
294,62345
295,60913
296,60716
297,60224
298,59688
299,59285
300,59211
301,58519
302,57249
303,56475
304,56042
305,55541
306,55535
307,55274
308,54654
309,53598
310,53042
311,52732
312,52373
313,51406
314,51070
315,50877
316,50570
317,49649
318,49014
319,47973
320,48369
321,47689
322,46665
323,46073
324,46633
325,45775
326,45485
327,45246
328,44468
329,43929
330,43243
331,42662
332,42370
333,42265
334,41166
335,41687
336,40632
337,40319
338,39707
339,38873
340,38386
341,38727
342,37975
343,37249
344,37090
345,36359
346,36568
347,35563
348,35118
349,34639
350,34588
351,33799
352,33544
353,33187
354,32945
355,32460
356,32681
357,31616
358,31488
359,31051
360,30720
361,30431
362,30269
363,29538
364,29355
365,28968
366,28680
367,27681
368,27528
369,27517
370,27413
371,26449
372,26355
373,26148
374,25625
375,25566
376,25140
377,25083
378,24417
379,24015
380,24048
381,23749
382,23588
383,22716
384,22719
385,22302
386,22406
387,21497
388,21516
389,21124
390,20893
391,20731
392,20135
393,20000
394,19943
395,19825
396,19529
397,19130
398,18855
399,18526
400,18088
401,18311
402,17725
403,17674
404,17418
405,17076
406,16780
407,16748
408,16266
409,16136
410,15946
411,15724
412,15436
413,15132
414,14813
415,14656
416,14228
417,14313
418,13968
419,14166
420,13448
421,13824
422,13388
423,13234
424,12899
425,12556
426,12301
427,12335
428,12316
429,12128
430,11850
431,11503
432,11194
433,11244
434,10898
435,11016
436,10729
437,10864
438,10436
439,10408
440,10182
441,9996
442,9806
443,9559
444,9344
445,9176
446,9042
447,8814
448,8998
449,8711
450,8467
451,8608
452,8397
453,8524
454,8192
455,8139
456,7898
