Cycle,R1Counts,R2Counts,R1_UnmCounts,R1_UnmRate,R1_SclipCounts,R1_ScRate,R1_InsertCounts,R1_InsRate,R1_SnvCounts,R1_SnvRate,R1_TotalMisCounts,R1_TotalRate,R2_UnmCounts,R2_UnmRate,R2_SclipCounts,R2_ScRate,R2_InsertCounts,R2_InsRate,R2_SnvCounts,R2_SnvRate,R2_TotalMisCounts,R2_TotalRate
1,10912257,10912257,2050,0.000188,24994,0.002290,296,0.000027,85106,0.007799,112446,0.010305,68636,0.006290,77981,0.007146,268,0.000025,44781,0.004104,191666,0.017564
2,10912257,10912257,2050,0.000188,23812,0.002182,250,0.000023,25163,0.002306,51275,0.004699,68636,0.006290,75041,0.006877,206,0.000019,42563,0.003900,186446,0.017086
3,10912257,10912257,2050,0.000188,20812,0.001907,220,0.000020,20574,0.001885,43656,0.004001,68636,0.006290,69173,0.006339,195,0.000018,36871,0.003379,174875,0.016026
4,10912257,10912257,2050,0.000188,17789,0.001630,442,0.000041,26892,0.002464,47173,0.004323,68636,0.006290,62522,0.005730,416,0.000038,35391,0.003243,166965,0.015301
5,10912257,10912257,2050,0.000188,13893,0.001273,516,0.000047,33625,0.003081,50084,0.004590,68636,0.006290,54803,0.005022,409,0.000037,49684,0.004553,173532,0.015902
6,10912257,10912257,2050,0.000188,9704,0.000889,589,0.000054,26284,0.002409,38627,0.003540,68636,0.006290,45096,0.004133,431,0.000039,40377,0.003700,154540,0.014162
7,10912257,10912257,2050,0.000188,8622,0.000790,578,0.000053,21010,0.001925,32260,0.002956,68636,0.006290,42215,0.003869,511,0.000047,38772,0.003553,150134,0.013758
8,10912257,10912257,2050,0.000188,7634,0.000700,645,0.000059,21497,0.001970,31826,0.002917,68636,0.006290,39199,0.003592,612,0.000056,40541,0.003715,148988,0.013653
9,10912257,10912257,2050,0.000188,6762,0.000620,708,0.000065,21396,0.001961,30916,0.002833,68636,0.006290,36095,0.003308,651,0.000060,39422,0.003613,144804,0.013270
10,10912257,10912257,2050,0.000188,5996,0.000549,747,0.000068,20668,0.001894,29461,0.002700,68636,0.006290,32982,0.003022,651,0.000060,39407,0.003611,141676,0.012983
11,10912257,10912257,2050,0.000188,5305,0.000486,814,0.000075,20933,0.001918,29102,0.002667,68636,0.006290,29865,0.002737,701,0.000064,41505,0.003804,140707,0.012894
12,10912257,10912257,2050,0.000188,4899,0.000449,801,0.000073,21106,0.001934,28856,0.002644,68636,0.006290,28099,0.002575,750,0.000069,43449,0.003982,140934,0.012915
13,10912257,10912257,2050,0.000188,4510,0.000413,795,0.000073,21290,0.001951,28645,0.002625,68636,0.006290,26361,0.002416,757,0.000069,44401,0.004069,140155,0.012844
14,10912257,10912257,2050,0.000188,4128,0.000378,881,0.000081,23822,0.002183,30881,0.002830,68636,0.006290,24568,0.002251,751,0.000069,44091,0.004041,138046,0.012651
15,10912257,10912257,2050,0.000188,3816,0.000350,901,0.000083,21475,0.001968,28242,0.002588,68636,0.006290,22813,0.002091,793,0.000073,44482,0.004076,136724,0.012529
16,10912257,10912257,2050,0.000188,3465,0.000318,935,0.000086,21005,0.001925,27455,0.002516,68636,0.006290,20991,0.001924,846,0.000078,44618,0.004089,135091,0.012380
17,10912257,10912257,2050,0.000188,3201,0.000293,891,0.000082,21002,0.001925,27144,0.002487,68636,0.006290,19815,0.001816,878,0.000080,45561,0.004175,134890,0.012361
18,10912257,10912257,2050,0.000188,2985,0.000274,936,0.000086,21283,0.001950,27254,0.002498,68636,0.006290,18667,0.001711,802,0.000073,46098,0.004224,134203,0.012298
19,10912257,10912257,2050,0.000188,2766,0.000253,942,0.000086,21485,0.001969,27243,0.002497,68636,0.006290,17429,0.001597,819,0.000075,46431,0.004255,133315,0.012217
20,10912257,10912257,2050,0.000188,2718,0.000249,922,0.000084,21728,0.001991,27418,0.002513,68636,0.006290,17124,0.001569,915,0.000084,46815,0.004290,133490,0.012233
21,10912257,10912257,2050,0.000188,2726,0.000250,946,0.000087,22351,0.002048,28073,0.002573,68636,0.006290,16914,0.001550,871,0.000080,48258,0.004422,134679,0.012342
22,10912257,10912257,2050,0.000188,2818,0.000258,931,0.000085,22438,0.002056,28237,0.002588,68636,0.006290,17106,0.001568,942,0.000086,48652,0.004458,135336,0.012402
23,10912257,10912257,2050,0.000188,2963,0.000272,1014,0.000093,22507,0.002063,28534,0.002615,68636,0.006290,17315,0.001587,954,0.000087,48827,0.004475,135732,0.012438
24,10912257,10912257,2050,0.000188,3252,0.000298,1022,0.000094,22974,0.002105,29298,0.002685,68636,0.006290,17623,0.001615,933,0.000086,50110,0.004592,137302,0.012582
25,10912257,10912257,2050,0.000188,3833,0.000351,1019,0.000093,23804,0.002181,30706,0.002814,68636,0.006290,18314,0.001678,906,0.000083,50522,0.004630,138378,0.012681
