Gene	testCode	geneCaptExon	meanDep	maxDep	minDep	10Xcover	20Xcover	50Xcover	100Xcover	200Xcover	500Xcover	1000Xcover
ERRFI1	C1021	100%	670	842	307	100.00%	100.00%	100.00%	100.00%	100.00%	91.38%	0.00%
CRKL	C1021,P1021,E73	100%	638	854	405	100.00%	100.00%	100.00%	100.00%	100.00%	90.82%	0.00%
HIST1H4I	C1021	38.4615%	358	459	213	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HSPA8	C1021	59.1133%	354	431	248	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PCSK6	C1021	69.3642%	463	573	334	100.00%	100.00%	100.00%	100.00%	100.00%	34.17%	0.00%
MEN1	C1021,H41,H62,HE15,FC59,H68,MC58,H54	100%	597	763	288	100.00%	100.00%	100.00%	100.00%	100.00%	91.86%	0.00%
IL6ST	C1021	67.9572%	527	753	153	100.00%	100.00%	100.00%	100.00%	99.70%	58.02%	0.00%
B2M	C1021,Lym79,Lym93	100%	570	744	262	100.00%	100.00%	100.00%	100.00%	100.00%	77.69%	0.00%
LIFR	C1021	56.0748%	359	447	262	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IFITM3	C1021	48.1928%	377	485	260	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PDCD11	C1021	57.971%	444	548	301	100.00%	100.00%	100.00%	100.00%	100.00%	34.17%	0.00%
DUSP22	C1021,Lym79,Lym93	69.7674%	765	940	562	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%
OGDH	C1021	81.6327%	367	443	265	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CDC73	C1021,H41,H62,HE15,FC59,H68,MC58,H54	100%	552	776	276	100.00%	100.00%	100.00%	100.00%	100.00%	67.20%	0.00%
